person,cause_of_death,date,year,canine,dept_name,states_death
Constable Darius Quimby,Gunfire,1791-01-03,1791,FALSE,Albany County Constable's Office,New York
Sheriff Cornelius Hogeboom,Gunfire,1791-10-22,1791,FALSE,Columbia County Sheriff's Office,New York
Deputy Sheriff Isaac Smith,Gunfire,1792-05-17,1792,FALSE,Westchester County Sheriff's Department,New York
Marshal Robert Forsyth,Gunfire,1794-01-11,1794,FALSE,United States Department of Justice - United States Marshals Service,NA
Sheriff Robert Maxwell,Gunfire,1797-11-12,1797,FALSE,Greenville County Sheriff's Office,South Carolina
High Sheriff John Caldwell Cook,Gunfire,1804-10-16,1804,FALSE,Mecklenburg County Sheriff's Office,North Carolina
Watchman Christian Luswanger,Stabbed,1806-12-25,1806,FALSE,New York City Watch,New York
Deputy Sheriff John A. Gooch,Gunfire,1807-03-07,1807,FALSE,Livingston County Sheriff's Department,Kentucky
Deputy Sheriff Ebenezer Parker,Assault,1808-01-18,1808,FALSE,Cumberland County Sheriff's Office,Maine
Night Watchman George Workner,Stabbed,1808-03-15,1808,FALSE,Baltimore City Police Department,Maryland
Boatman Asa Marsh,Gunfire,1808-08-03,1808,FALSE,United States Department of the Treasury - Customs Service,NA
Boatman Ellis Drake,Gunfire,1808-08-03,1808,FALSE,United States Department of the Treasury - Customs Service,NA
Custom House Officer Daniel Miller,Gunfire,1810-01-01,1810,FALSE,United States Department of the Treasury - Customs Service,NA
Deputy Sheriff John Tileston Downes,Gunfire,1811-01-28,1811,FALSE,Hancock County Sheriff's Department,Maine
Customs Inspector John Stout,Gunfire,1814-01-21,1814,FALSE,United States Department of the Treasury - Customs Service,NA
Sheriff John Coor Pender,Gunfire,1816-01-01,1816,FALSE,Wayne County Sheriff's Office,North Carolina
Sheriff Caleb Hewitt,Assault,1816-09-09,1816,FALSE,Davidson County Sheriff's Office,Tennessee
Deputy Sheriff William Huddleston,Assault,1818-10-09,1818,FALSE,Schoharie County Sheriff's Department,New York
"Constable Jacob Dearduff, Sr.",Stabbed,1823-02-22,1823,FALSE,Jamestown Police Department,Ohio
Constable Elijah Chenault,Assault,1823-08-04,1823,FALSE,Alexandria Police Department,Virginia
Constable Robert Murphy,Stabbed,1824-11-11,1824,FALSE,Franklin County Sheriff's Department,Indiana
Constable William Davidson,Gunfire,1825-04-14,1825,FALSE,Pennsylvania State Constable - Venango County,Pennsylvania
Watch Officer Jonathan Houghton,Assault,1825-12-19,1825,FALSE,Boston Watch,Massachusetts
Watchman Gerrard Arnold,Assault,1827-09-09,1827,FALSE,Alexandria Police Department,Virginia
Watchman Steven Heimer,Gunfire,1828-01-08,1828,FALSE,Philadelphia Police Department,Pennsylvania
